Gene_ID	Vegetative_Meristem_16-19Day	6-7_internode	7-8_internode	Juvenile_Leaf_Blade3	Leaf_Zone 1_Symmetrical	Leaf_Zone 2_Stomatal	Leaf_Zone 3_Growth	Mature_Leaf_8	Primary_Root_5Days	Root_Meristem_Zone_5Days	Root_Cortex_5Days	Root_Stelle_5Days	Root_Elongation_Zone_5Days	Secondary_Root_7-8_Days	Tassel	Anther_1.0mm	Anther_2.0mm	W23_Pollen	B73_Mature_Pollen	B73_Germ_Pollen	Female_Spikelet	Ear_Primordium_1mm	Ear_Primordium_2-4mm	Ear_Primordium_6-8mm	Silk_unpollinated	Endosperm_8_DAP	Endosperm_10_DAP	Endosperm_12_DAP	Endosperm Crown_27_DAP	Pericarp_Aleurone_27_DAP	Embryo_20_DAP	Embryo_38_DAP	Germ_Kernels_2_DAI
Zm00001d031614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.7709446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d014901	0	0	0	0	25.16811729	0	13.5510686	0	0	43.67424814	0	10.34196341	9.875055495	0	0	24.05264828	26.1612857	12.29730987	0	0	66.46503505	11.1190134	14.56456188	2.796959754	0	71.9013381	57.55405017	17.53438734	7.338746022	10.70068835	21.96013262	0	0
Zm00001d047797	2003.14701	5907.394355	3282.840048	266.8689317	2515.386729	3906.704148	5037.629134	786.1975188	8280.483149	5611.565466	22874.68023	43599.05101	12102.75934	8832.906331	5583.115346	1643.03219	7504.329732	2578.693978	2458.593702	1028.592599	5227.897343	1945.309396	3226.807471	3349.473231	16416.45946	1666.320701	1955.555418	2017.723231	463.351085	4768.745856	1668.691031	300.1703287	1580.776134
Zm00001d048794	101.3907398	81.67074272	350.7480445	52.48173549	131.817629	188.9512415	155.7699912	120.2601016	92.21466224	131.7079513	77.84435656	66.95203285	175.8398123	49.68310317	369.7860259	160.4021323	104.3986143	90.13553335	73.67011989	102.4261911	83.68512782	320.0264805	327.0449205	311.6548494	425.2011833	229.6841897	322.6727714	308.2571551	418.2053404	109.842758	305.9561318	0	38.04619808
Zm00001d045055	3.578601583	54.05532392	109.2104389	17.20109464	0	31.69373564	132.3753579	9.300007237	76.60184167	0	255.9182601	0	0	63.63839891	65.29316771	166.4255207	883.6897796	155.9110885	109.6427696	48.10472789	106.0296612	13.2058214	0	2.369399027	1557.664457	258.1336176	121.8933256	10.6393085	0	49.91535449	0	0	0
Zm00001d032737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114.0004082	258.5983525	177.2250104	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d046214	200.7754926	279.3133989	332.016312	0	387.0258124	287.9226408	308.2851912	28.83281481	237.8144254	198.7688349	205.2497173	384.9310275	314.6605324	161.5146456	250.4366497	237.570461	423.393735	50.88012356	209.0697477	79.70718564	436.420977	210.690431	521.1494867	305.2245765	196.9918398	261.9085985	156.1299864	96.83710845	56.64229354	130.3784578	306.9960281	89.53335995	128.8525038
Zm00001d027436	3.969963368	3.350266704	13.33380187	0	3.162659004	4.037215898	9.696414365	8.955825166	0	0	0	0	0	0	16.47575656	0	0	0	0	0	3.353957445	0	0	6.625960479	0	1.073799386	0	0	3.428758387	2.716282098	0	0	0
Zm00001d047969	0	0	0	0	36.25141193	34.85110742	10.46502236	0	0	0	0	0	0	0	48.11808463	0	0	0	0	0	0	30.62254556	29.23709363	145.2524457	0	0	13.66464149	10.20582245	0	0	50.05874781	0	4.648725096
Zm00001d011211	0	0	0	0	0	2.195253339	5.719336452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.79890719	0	0
